Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,12045,1957,10,20,8.9,1,Y
IDCJAC0011,12045,1957,10,21,10.0,1,Y
IDCJAC0011,12045,1957,10,22,7.2,1,Y
IDCJAC0011,12045,1957,10,23,10.6,1,Y
IDCJAC0011,12045,1957,10,24,13.9,1,Y
IDCJAC0011,12045,1957,10,25,18.9,1,Y
IDCJAC0011,12045,1957,10,26,21.7,1,Y
IDCJAC0011,12045,1957,10,27,13.9,1,Y
IDCJAC0011,12045,1957,10,28,15.0,1,Y
IDCJAC0011,12045,1957,10,29,19.4,1,Y
IDCJAC0011,12045,1957,10,30,15.6,1,Y
IDCJAC0011,12045,1957,10,31,22.2,1,Y
IDCJAC0011,12045,1957,11,01,15.0,1,Y
IDCJAC0011,12045,1957,11,02,14.4,1,Y
IDCJAC0011,12045,1957,11,03,17.2,1,Y
IDCJAC0011,12045,1957,11,04,19.4,1,Y
IDCJAC0011,12045,1957,11,05,21.7,1,Y
IDCJAC0011,12045,1957,11,06,12.8,1,Y
IDCJAC0011,12045,1957,11,07,13.3,1,Y
IDCJAC0011,12045,1957,11,08,16.7,1,Y
IDCJAC0011,12045,1957,11,09,19.4,1,Y
IDCJAC0011,12045,1957,11,10,20.6,1,Y
IDCJAC0011,12045,1957,11,11,14.4,1,Y
IDCJAC0011,12045,1957,11,12,16.1,1,Y
IDCJAC0011,12045,1957,11,13,18.9,1,Y
IDCJAC0011,12045,1957,11,14,25.0,1,Y
IDCJAC0011,12045,1957,11,15,20.0,1,Y
IDCJAC0011,12045,1957,11,16,21.1,1,Y
IDCJAC0011,12045,1957,11,17,17.2,1,Y
IDCJAC0011,12045,1957,11,18,17.2,1,Y
IDCJAC0011,12045,1957,11,19,18.3,1,Y
IDCJAC0011,12045,1957,11,20,17.8,1,Y
IDCJAC0011,12045,1957,11,21,21.7,1,Y
IDCJAC0011,12045,1957,11,22,18.3,1,Y
IDCJAC0011,12045,1957,11,23,23.9,1,Y
IDCJAC0011,12045,1957,11,24,17.2,1,Y
IDCJAC0011,12045,1957,11,25,12.8,1,Y
IDCJAC0011,12045,1957,11,26,16.1,1,Y
IDCJAC0011,12045,1957,11,27,17.8,1,Y
IDCJAC0011,12045,1957,11,28,21.7,1,Y
IDCJAC0011,12045,1957,11,29,22.2,1,Y
IDCJAC0011,12045,1957,11,30,28.3,1,Y
IDCJAC0011,12045,1957,12,01,24.4,1,Y
IDCJAC0011,12045,1957,12,02,16.1,1,Y
IDCJAC0011,12045,1957,12,03,18.3,1,Y
IDCJAC0011,12045,1957,12,04,22.8,1,Y
IDCJAC0011,12045,1957,12,05,25.0,1,Y
IDCJAC0011,12045,1957,12,06,18.9,1,Y
IDCJAC0011,12045,1957,12,07,15.6,1,Y
IDCJAC0011,12045,1957,12,08,19.4,1,Y
IDCJAC0011,12045,1957,12,09,18.3,1,Y
IDCJAC0011,12045,1957,12,10,19.4,1,Y
IDCJAC0011,12045,1957,12,11,20.0,1,Y
IDCJAC0011,12045,1957,12,12,22.2,1,Y
IDCJAC0011,12045,1957,12,13,22.8,1,Y
IDCJAC0011,12045,1957,12,14,23.9,1,Y
IDCJAC0011,12045,1957,12,15,22.8,1,Y
IDCJAC0011,12045,1957,12,16,24.4,1,Y
IDCJAC0011,12045,1957,12,17,27.2,1,Y
IDCJAC0011,12045,1957,12,18,22.8,1,Y
IDCJAC0011,12045,1957,12,19,28.3,1,Y
IDCJAC0011,12045,1957,12,20,18.9,1,Y
IDCJAC0011,12045,1957,12,21,25.6,1,Y
IDCJAC0011,12045,1957,12,22,25.6,1,Y
IDCJAC0011,12045,1957,12,23,23.3,1,Y
IDCJAC0011,12045,1957,12,24,20.6,1,Y
IDCJAC0011,12045,1957,12,25,20.6,1,Y
IDCJAC0011,12045,1957,12,26,20.6,1,Y
IDCJAC0011,12045,1957,12,27,20.0,1,Y
IDCJAC0011,12045,1957,12,28,18.3,1,Y
IDCJAC0011,12045,1957,12,29,11.1,1,Y
IDCJAC0011,12045,1957,12,30,12.2,1,Y
IDCJAC0011,12045,1957,12,31,13.3,1,Y
IDCJAC0011,12045,1958,01,01,,,
IDCJAC0011,12045,1958,01,02,16.7,,Y
IDCJAC0011,12045,1958,01,03,20.0,1,Y
IDCJAC0011,12045,1958,01,04,22.2,1,Y
IDCJAC0011,12045,1958,01,05,22.2,1,Y
IDCJAC0011,12045,1958,01,06,24.4,1,Y
IDCJAC0011,12045,1958,01,07,23.9,1,Y
IDCJAC0011,12045,1958,01,08,23.3,1,Y
IDCJAC0011,12045,1958,01,09,20.0,1,Y
IDCJAC0011,12045,1958,01,10,18.3,1,Y
IDCJAC0011,12045,1958,01,11,19.4,1,Y
IDCJAC0011,12045,1958,01,12,22.8,1,Y
IDCJAC0011,12045,1958,01,13,27.2,1,Y
IDCJAC0011,12045,1958,01,14,17.8,1,Y
IDCJAC0011,12045,1958,01,15,18.9,1,Y
IDCJAC0011,12045,1958,01,16,22.8,1,Y
IDCJAC0011,12045,1958,01,17,26.7,1,Y
IDCJAC0011,12045,1958,01,18,26.1,1,Y
IDCJAC0011,12045,1958,01,19,21.1,1,Y
IDCJAC0011,12045,1958,01,20,22.2,1,Y
IDCJAC0011,12045,1958,01,21,25.0,1,Y
IDCJAC0011,12045,1958,01,22,7.2,1,Y
IDCJAC0011,12045,1958,01,23,16.7,1,Y
IDCJAC0011,12045,1958,01,24,17.8,1,Y
IDCJAC0011,12045,1958,01,25,20.0,1,Y
IDCJAC0011,12045,1958,01,26,21.1,1,Y
IDCJAC0011,12045,1958,01,27,23.3,1,Y
IDCJAC0011,12045,1958,01,28,23.9,1,Y
IDCJAC0011,12045,1958,01,29,21.1,1,Y
IDCJAC0011,12045,1958,01,30,22.8,1,Y
IDCJAC0011,12045,1958,01,31,22.8,1,Y
IDCJAC0011,12045,1958,02,01,23.9,1,Y
IDCJAC0011,12045,1958,02,02,27.2,1,Y
IDCJAC0011,12045,1958,02,03,21.1,1,Y
IDCJAC0011,12045,1958,02,04,21.7,1,Y
IDCJAC0011,12045,1958,02,05,19.4,1,Y
IDCJAC0011,12045,1958,02,06,8.3,1,Y
IDCJAC0011,12045,1958,02,07,21.7,1,Y
IDCJAC0011,12045,1958,02,08,25.0,1,Y
IDCJAC0011,12045,1958,02,09,25.0,1,Y
IDCJAC0011,12045,1958,02,10,20.0,1,Y
IDCJAC0011,12045,1958,02,11,18.3,1,Y
IDCJAC0011,12045,1958,02,12,22.2,1,Y
IDCJAC0011,12045,1958,02,13,24.4,1,Y
IDCJAC0011,12045,1958,02,14,16.7,1,Y
IDCJAC0011,12045,1958,02,15,16.7,1,Y
IDCJAC0011,12045,1958,02,16,16.1,1,Y
IDCJAC0011,12045,1958,02,17,17.8,1,Y
IDCJAC0011,12045,1958,02,18,21.1,1,Y
IDCJAC0011,12045,1958,02,19,19.4,1,Y
IDCJAC0011,12045,1958,02,20,16.1,1,Y
IDCJAC0011,12045,1958,02,21,14.4,1,Y
IDCJAC0011,12045,1958,02,22,16.1,1,Y
IDCJAC0011,12045,1958,02,23,16.7,1,Y
IDCJAC0011,12045,1958,02,24,21.7,1,Y
IDCJAC0011,12045,1958,02,25,21.1,1,Y
IDCJAC0011,12045,1958,02,26,22.2,1,Y
IDCJAC0011,12045,1958,02,27,20.6,1,Y
IDCJAC0011,12045,1958,02,28,19.4,1,Y
IDCJAC0011,12045,1958,03,01,18.3,1,Y
IDCJAC0011,12045,1958,03,02,19.4,1,Y
IDCJAC0011,12045,1958,03,03,16.1,1,Y
IDCJAC0011,12045,1958,03,04,16.1,1,Y
IDCJAC0011,12045,1958,03,05,18.3,1,Y
IDCJAC0011,12045,1958,03,06,18.3,1,Y
IDCJAC0011,12045,1958,03,07,17.8,1,Y
IDCJAC0011,12045,1958,03,08,21.7,1,Y
IDCJAC0011,12045,1958,03,09,19.4,1,Y
IDCJAC0011,12045,1958,03,10,18.9,1,Y
IDCJAC0011,12045,1958,03,11,16.1,1,Y
IDCJAC0011,12045,1958,03,12,17.2,1,Y
IDCJAC0011,12045,1958,03,13,18.3,1,Y
IDCJAC0011,12045,1958,03,14,18.9,1,Y
IDCJAC0011,12045,1958,03,15,21.1,1,Y
IDCJAC0011,12045,1958,03,16,23.9,1,Y
IDCJAC0011,12045,1958,03,17,17.2,1,Y
IDCJAC0011,12045,1958,03,18,16.7,1,Y
IDCJAC0011,12045,1958,03,19,15.0,1,Y
IDCJAC0011,12045,1958,03,20,16.1,1,Y
IDCJAC0011,12045,1958,03,21,13.9,1,Y
IDCJAC0011,12045,1958,03,22,15.0,1,Y
IDCJAC0011,12045,1958,03,23,13.9,1,Y
IDCJAC0011,12045,1958,03,24,15.0,1,Y
IDCJAC0011,12045,1958,03,25,18.9,1,Y
IDCJAC0011,12045,1958,03,26,15.6,1,Y
IDCJAC0011,12045,1958,03,27,10.6,1,Y
IDCJAC0011,12045,1958,03,28,11.1,1,Y
IDCJAC0011,12045,1958,03,29,13.9,1,Y
IDCJAC0011,12045,1958,03,30,15.0,1,Y
IDCJAC0011,12045,1958,03,31,16.1,1,Y
IDCJAC0011,12045,1958,04,01,17.8,1,Y
IDCJAC0011,12045,1958,04,02,17.8,1,Y
IDCJAC0011,12045,1958,04,03,19.4,1,Y
IDCJAC0011,12045,1958,04,04,18.9,1,Y
IDCJAC0011,12045,1958,04,05,17.2,1,Y
IDCJAC0011,12045,1958,04,06,,,
IDCJAC0011,12045,1958,04,07,9.4,1,Y
IDCJAC0011,12045,1958,04,08,12.8,1,Y
